"Reference","Value","Footprint","Qty","LCSC Part","Digikey"
"C1,C7,C8,C9,C10,C11,C12,C15,C32,C34,C36,C38,C40,C44,C45,C52,C57,C59,C66,C70,C71,C77,C78,C79,C87,C88,C95,C97,C103,C123,C128,C129,C139,C141","4u7","Capacitor_SMD:C_0402_1005Metric","34"," C368809",""
"C2,C3,C4,C5,C6,C16,C17,C18,C19,C20,C21,C22,C138,C142,C149,C150","100n","Capacitor_SMD:C_0402_1005Metric,Capacitor_SMD:C_0805_2012Metric","16","C16780,gia",""
"C13,C23,C33,C35,C37,C39,C41,C43,C46,C47,C48,C50,C53,C54,C55,C56,C61,C62,C67,C69,C72,C76,C80,C81,C82,C83,C84,C85,C89,C90,C91,C92,C94,C98,C99,C100,C101,C102,C107,C108,C112,C114,C130,C131,C132,C133,C134,C135,C136,C137","470n","Capacitor_SMD:C_0201_0603Metric","50","C85926",""
"C14","100n","Capacitor_SMD:C_0402_1005Metric","1","-",""
"C24,C27,C28,C29,C31,C49,C73,C74,C75,C86,C127,C151,C152","47u","Capacitor_SMD:C_0805_2012Metric","13","C16780",""
"C25,C26,C30","22u","Capacitor_SMD:C_0805_2012Metric","3","C98190",""
"C42,C51,C58,C60,C63,C64,C68,C93,C96","100u","Capacitor_SMD:C_1206_3216Metric","9","C15008",""
"C65","10u","Capacitor_SMD:C_0402_1005Metric","1"," C15525////",""
"C104,C105,C106,C109,C110,C111,C113,C118,C119,C120,C121,C122,C124,C125,C126","47n","Capacitor_SMD:C_0201_0603Metric","15","C85925",""
"C115","0.1uF","Capacitor_SMD:C_0402_1005Metric","1","",""
"C116","10uF","Capacitor_SMD:C_0402_1005Metric","1","",""
"C117,C140,C143,C144,C145,C146,C147,C148","22nF","Capacitor_SMD:C_0402_1005Metric","8","",""
"D1","DSK34","Diode_SMD:Nexperia_CFP3_SOD-123W","1","",""
"D2","LED_Small","LED_SMD:LED_0603_1608Metric","1","-",""
"H1,H2,H3,H4","MountingHole","Mylibrary:MountingHole_2.7mm_M2.5_ISO14580_MOD","4","-",""
"J1,J2,J3","DF40C-100DS-0.4V_51","Mylibrary:HRS_DF40C-100DP-0.4V_51_","3","","DF40HC(3.0)-100DS-0.4V(51)"
"J4","Conn_01x14_Pin","fp:TFT-320x240","1","",""
"J5","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","1","",""
"J6","HDMI_C_1.3","fp:XKB Connection A71-05H4-111N1","1","",""
"J7,J11","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2","",""
"J8,J9","Conn_01x12_Pin","Connector_PinSocket_2.54mm:PinSocket_2x06_P2.54mm_Horizontal","2","",""
"J10","AudioJack3","Connector_Audio:Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal","1","",""
"J20","Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1","",""
"L1","3u3","Mylibrary:L_0806_2.0x1.6mm","1","C98336",""
"L2,L3,L4,L6,L7,L8,L9","120R","Inductor_SMD:L_0402_1005Metric","7","C275478",""
"L5","600@100MHz","Inductor_SMD:L_0402_1005Metric","1","C337875/gia",""
"LED1","LED_RED","LED_SMD:LED_0603_1608Metric","1","",""
"Q1","HSCC8233","fp:DFN-6-1EP_3x2mm_P0.5mm_EP1.65x1.35mm_Dual_MOSFETs","1","",""
"Q3","NMOS","Package_TO_SOT_SMD:SOT-23","1","",""
"Q4","DMP2104LP","fp:Diodes_DFN1411-3","1","",""
"R1,R5,R6,R13,R15,R39,R40,R41,R42,R43,R44,R74,R75,R76,R77,R86,R87,R88,R89,R90,R92,R93,R94,R97,R100","10k","Resistor_SMD:R_0402_1005Metric","25","C25744/gia",""
"R2,R20,R21,R22,R49,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R95,R96","22R","Resistor_SMD:R_0402_1005Metric","30","C114765/C25105",""
"R3,R4,R14","1k5","Resistor_SMD:R_0402_1005Metric","3","C25867",""
"R7,R8,R9,R10,R11,R12,R17,R18,R19,R48,R98,R99","4k7","Resistor_SMD:R_0402_1005Metric","12","C25940",""
"R16","2k49","Resistor_SMD:R_0402_1005Metric","1","C25884",""
"R23,R27,R28,R29,R30,R31,R32,R35,R36,R78,R79,R82,R83,R84,R85","100k","Resistor_SMD:R_0402_1005Metric","15","C60491",""
"R24","8k06","Resistor_SMD:R_0402_1005Metric","1","C25923",""
"R25","28k7","Resistor_SMD:R_0402_1005Metric","1","C26972",""
"R26,R33,R37","200k","Resistor_SMD:R_0402_1005Metric","3","C137903",""
"R34","44k2","Resistor_SMD:R_0402_1005Metric","1","C25895",""
"R38","160k","Resistor_SMD:R_0402_1005Metric","1","C25757",""
"R45","240R","Resistor_SMD:R_0402_1005Metric","1","C25094",""
"R46,R47,R50","100R","Resistor_SMD:R_0201_0603Metric,Resistor_SMD:R_0402_1005Metric","3","C25138,C270336",""
"R80","5k1","Resistor_SMD:R_0402_1005Metric","1","gia",""
"R81","12k","Resistor_SMD:R_0402_1005Metric","1","gia",""
"R91","330","Resistor_SMD:R_0402_1005Metric","1","",""
"R101","1M","Resistor_SMD:R_0402_1005Metric","1","",""
"R102,R103","5.1K","Resistor_SMD:R_0402_1005Metric","2","",""
"R104,R108","100K","Resistor_SMD:R_0402_1005Metric","2","",""
"R105,R110","10K","Resistor_SMD:R_0402_1005Metric","2","",""
"R106,R111","1K","Resistor_SMD:R_0402_1005Metric","2","",""
"R107","470","Resistor_SMD:R_0402_1005Metric","1","",""
"R109","2.4K","Resistor_SMD:R_0402_1005Metric","1","",""
"R112,R113,R114,R115","220","Resistor_SMD:R_0402_1005Metric","4","C60491",""
"R116,R117","1.8k","Resistor_SMD:R_0402_1005Metric","2","C60491",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16","TestPoint","Mylibrary:TestPoint_Pad_D0.7mm","16","-",""
"U1","MT41K256M16TW-107_P","Mylibrary:BGA96C80P9X16_1400X800X120","1","gia",""
"U2","XC7Z020-CLG484","Mylibrary:CLG484_XIL-L_new","1","gia",""
